TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,9,5,6,14,10XX COMMERCIAL DR,Grandview-Woodland,494946.6792,5458090.607
Break and Enter Commercial,2023,1,26,4,37,10XX COMMERCIAL DR,Grandview-Woodland,494946.8873,5458110.933
Break and Enter Commercial,2023,12,29,0,0,10XX SEMLIN DR,Grandview-Woodland,495361.4044,5458037.044
Break and Enter Commercial,2023,2,10,19,2,11XX COMMERCIAL DR,Grandview-Woodland,494936.2627,5457968.39
Break and Enter Commercial,2023,1,25,3,45,11XX COMMERCIAL DR,Grandview-Woodland,494945.3438,5457962.456
Break and Enter Commercial,2023,1,27,0,48,11XX COMMERCIAL DR,Grandview-Woodland,494945.51,5457978.018
Break and Enter Commercial,2023,2,13,1,31,11XX COMMERCIAL DR,Grandview-Woodland,494945.51,5457978.018
Break and Enter Commercial,2023,12,22,1,30,12XX ODLUM DR,Grandview-Woodland,494481.1527,5457828.182
Break and Enter Commercial,2023,11,8,7,0,13XX COMMERCIAL DR,Grandview-Woodland,494933.4227,5457787.921
Break and Enter Commercial,2023,6,2,18,46,13XX E 1ST AVE,Grandview-Woodland,494446.8945,5457438.598
Break and Enter Commercial,2023,12,10,2,47,13XX E 2ND AVE,Grandview-Woodland,494440.2806,5457339.041
Break and Enter Commercial,2023,6,6,0,22,13XX E 7TH AVE,Grandview-Woodland,494369.5353,5456837.459
Break and Enter Commercial,2023,7,4,12,21,13XX E 7TH AVE,Grandview-Woodland,494369.5353,5456837.459
Break and Enter Commercial,2023,12,24,23,44,13XX E 7TH AVE,Grandview-Woodland,494369.5353,5456837.459
Break and Enter Commercial,2023,8,23,2,57,13XX E 8TH AVE,Grandview-Woodland,494455.1886,5456726.574
Break and Enter Commercial,2023,8,23,3,0,13XX E 8TH AVE,Grandview-Woodland,494455.1886,5456726.574
Break and Enter Commercial,2023,6,3,0,0,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.712
Break and Enter Commercial,2023,7,24,4,30,13XX GRAVELEY ST,Grandview-Woodland,494428.907,5457540.523
Break and Enter Commercial,2023,3,27,21,40,13XX PARKER ST,Grandview-Woodland,494435.5413,5458128.144
Break and Enter Commercial,2023,2,5,3,44,13XX VENABLES ST,Grandview-Woodland,494459.7386,5458228.586
Break and Enter Commercial,2023,1,29,16,0,14XX CLARK DR,Grandview-Woodland,494378.7928,5457654.854
Break and Enter Commercial,2023,10,8,6,10,14XX COMMERCIAL DR,Grandview-Woodland,494931.6668,5457694.457
Break and Enter Commercial,2023,1,17,0,0,14XX E GEORGIA ST,Grandview-Woodland,494593.5122,5458418.136
